Team,Needs,Context,Year
Philadelphia 76ers,"SG, SF","Facing the fourth-highest salary for pick No. 16, Philly could use this asset in a package for a star. If they keep it, they need wing depth (Dalton Knecht or Ja’Kobe Walter) between Embiid and Maxey.",2024
Phoenix Suns,"C, PG","With Drew Eubanks disappointed as backup, Phoenix needs a young center who can stretch the floor (Yves Missi, Kel’el Ware) or a playmaking guard (Tyler Kolek, Isaiah Collier).",2024
Portland Trail Blazers,"SF, SG","Portland, with four picks, must fill its wing rotation around Scoot Henderson and Shaedon Sharpe — targeting floor-spacing wings like Matas Buzelis or Dalton Knecht.",2024
Sacramento Kings,"SG, SF","If Malik Monk leaves in free agency, the Kings need a Sixth Man replacement — prospects like Rob Dillingham, Devin Carter or Jared McCain offer shooting, defense and playmaking.",2024
San Antonio Spurs,"PG, SF","With picks 4 and 8, San Antonio can move up for another French prospect or select a polished point guard to pair with Victor Wembanyama, then take a long-term wing like Nikola Topić.",2024
Toronto Raptors,"SG, SF",Toronto finished 26th in shooting volume and accuracy — adding floor-spacers around Scottie Barnes via a trade-up or drafting prospects like Rob Dillingham or Dalton Knecht is crucial.,2024
Utah Jazz,"SG, SF","After posting the worst defensive rating in NBA history, Utah needs defensive help in the backcourt — two-way wings like Ron Holland or Devin Carter can address this need.",2024
Washington Wizards,"PG, C","The Wizards’ primary needs are at point guard and center, but more than anything, they crave a star — casting a wide net for whoever projects to be one, from Alex Sarr to Zaccharie Risacher.",2024
Atlanta Hawks,"SG, SF","The Hawks are all-in on Trae Young so they need to find some defence around him and some more shooters that he can feed with his crafty playmaking skills. Three-and-D are very much the watchword for the Hawks, and they may also elect to go for some size to fill the team need for another big man.",2023
Boston Celtics,"C, PF","The Boston Celtics have the deepest roster but are approaching a roster crunch with many stars needing new deals. If they stay all in on their core, they may look for a big man given Robert Williams III’s injuries and Al Horford nearing the end of his career, as well as possibly targeting frontcourt depth.",2023
Brooklyn Nets,"PG, SG","The Nets’ picks give them a chance to add offensive skills and a playmaker who can run the offence, while also needing another rebounder alongside Nic Claxton and Ben Simmons, addressing multiple frontcourt and backcourt gaps.",2023
Charlotte Hornets,"SG, SF","The Hornets will either go for a top prospect or package their picks, but are in need of talent across the board, including athletic wings and backcourt talent to complement LaMelo Ball and stop prolonged rebuild processes.",2023
Chicago Bulls,"PG, C","Without draft picks, the Bulls need a point guard who can run the offence and complement scorers like Zach LaVine and DeMar DeRozan, and may look for interior reinforcements with Nikola Vucevic’s impending free agency.",2023
Cleveland Cavaliers,"SF, SG","The Cavaliers’ young core is set, but they need more shooting, particularly on the wings, and an on-ball defender to complement their perimeter stars and make the next step in the playoffs.",2023
Detroit Pistons,"PG, SG","With key young pieces in place, Detroit’s draft focus is on adding an athletic shooter and someone to help power the pace of the offence alongside Cade Cunningham and other backcourt talent.",2023
Indiana Pacers,"PF, SF","Holding multiple picks, the Pacers will likely target a power forward to complement their rim protection and athletic forwards with strong defensive skills to round out the core around Tyrese Haliburton and Bennedict Mathurin.",2023
Miami Heat,"PG, SG","Miami needs a shot creator with a reliable pull-up game to complement Bam Adebayo and Jimmy Butler, providing that third elite offensive component that could bridge the gap to championship contention.",2023
Milwaukee Bucks,"SG, SF","As the last pick in the draft, the Bucks seek a final piece to fit alongside Giannis Antetokounmpo and the ageing core, ideally a big guard or wing who can shoot on the kick-out when the defence collapses.",2023
New York Knicks,,"The Knicks do not own a pick but, if they trade in, could look to add a player with significant upside to support their star core and maintain a competitive playoff window.",2023
Orlando Magic,"PG, SG","With young core pieces established, Orlando needs shooters and more scoring punch in the backcourt, including pull-up shooters and catch-and-shoot threats to complement their developing talent.",2023
Philadelphia 76ers,"SF, SG","The 76ers lack picks but will likely seek a wing shooter to complement their stars and serve as role players in playoff rotations, emphasizing 3-and-D skillsets.",2023
Toronto Raptors,"SG, C",Toronto faces potential roster turnover and will likely target long-range shooting or an interior shot-blocker to surround Scottie Barnes and support a possible rebuild.,2023
Washington Wizards,"SG, SF","Rebuilding with young assets, Washington will look to the draft to find a high-ceiling guard or wing with upside to pair with future core pieces and reset the franchise.",2023
Dallas Mavericks,"C, SF","Dallas is in dire need of defence, having surrendered key perimeter defenders, so they’ll target rim protection at center and versatile wings who can guard multiple positions.",2023
Denver Nuggets,"SF, PF","The Nuggets seek to replace Bruce Brown’s defensive versatility and hustle with wings who can guard and contribute on both ends, as well as frontcourt depth.",2023
Golden State Warriors,"SF, SG","Golden State needs a bit of je ne sais quoi to supplement their ageing stars, targeting versatile wings who can provide defensive energy and shooting alongside their core.",2023
Houston Rockets,"SG, PG","Houston’s rebuild calls for players who can defend and a playmaker to facilitate around their young stars, emphasizing 3-and-D guards and secondary creators.",2023
Los Angeles Clippers,"PG, SF","Loaded at wing but lacking playmaking, the Clippers could use a pass-first guard to balance the offence and bouncy two-way wings to boost bench depth.",2023
Los Angeles Lakers,"SG, SF","The Lakers need shooters around LeBron James, prioritizing perimeter snipers and spacing wings to improve offensive balance and spacing.",2023
Memphis Grizzlies,"SF, SG","Following roster changes, Memphis will prioritize two-way wings to fill their defensive and shooting void on the perimeter, maintaining their identity as tough, versatile defenders.",2023
Minnesota Timberwolves,"SG, SF","Minnesota needs floor spacing for their scorers, targeting perimeter shooters and versatile wings to complement Anthony Edwards and facilitate offensive flow.",2023
New Orleans Pelicans,"SG, SF","The Pelicans aim to land a strong shooter who can space the floor alongside Williamson and Ingram, emphasizing catch-and-shoot wings in the mid-to-late first round.",2023
Oklahoma City Thunder,"C, PF","OKC’s mix of youth and picks points to a need for rim protection and interior defence, focusing on shot-blocking centers and frontcourt depth to secure the paint.",2023
Phoenix Suns,"SG, SF","With key departures creating holes, Phoenix will target wings and guards who can provide shooting and defensive versatility to offset their roster changes.",2023
Portland Trail Blazers,"PG, SF","Portland expects Scoot Henderson if available and will also look for defensive tenacity on the wing, seeking dynamic ball-handlers and perimeter stoppers.",2023
Sacramento Kings,"C, PF","Sacramento needs shot-blocking frontcourt players, targeting starting-caliber centers and athletic defenders to complement their core offensively.",2023
San Antonio Spurs,"SF, PG","With Victor Wembanyama in place, the Spurs will seek complementary backcourt talents, emphasizing dynamic wings and playmaking guards to build around their star.",2023
Utah Jazz,"PG, SG","Utah will look to find another backcourt sensation with high upside, targeting dynamic guards who can ignite the offence alongside their young core.",2023
Atlanta Hawks,"PG, SF","It’s been four years and the Hawks still haven’t figured out how to score when Trae Young sits, nor defend when he plays. They need a backup point guard who can create shots and additional perimeter defenders to flank Young.",2022
Boston Celtics,"PG, SG","Boston has All-Defense-caliber talent everywhere, so the only real avenue for improvement is on offense. A guard who can dribble (PG) and shoot (SG) would address their offensive shortcomings.",2022
Brooklyn Nets,"SG, C","Moving forward, Brooklyn needs defense in the backcourt and a reliable center. They must find a versatile perimeter stopper (SG) and a shooting big man to keep floor spacing alongside Simmons.",2022
Charlotte Hornets,"C, SF","Charlotte’s starting centers have struggled to finish and defend, and the roster lacks a true rim-running big. They need an athletic center (C) and a wing defender (SF) to help generate stops.",2022
Chicago Bulls,"PF, SG",The Bulls showed they need defensive size to guard elite bigs and more floor spacing. A two-way power forward (PF) and a knock-down shooting guard (SG) would balance their roster.,2022
Cleveland Cavaliers,"SG, SF","Until Isaac Okoro lives up to his potential, the Cavs lack a true perimeter stopper. They need a defensive guard (SG) and a starting-caliber small forward (SF) to lock down the wing.",2022
Detroit Pistons,"SF, PF","With Cade Cunningham as their only cornerstone, Detroit can go in any direction, but it most urgently needs wing creation (SF) and frontcourt depth (PF) to complement its young guard.",2022
Indiana Pacers,"SF, PF","After trading Sabonis, Indiana solved its center logjam but still lacks starting-caliber forwards. They need two-way wings (SF) and frontcourt rebounders (PF) to shore up their rotation.",2022
Miami Heat,"C, SG",Miami needs a true backup center (C) for Bam Adebayo and another half-court shot-creator (SG) to complement its two-way culture and provide bench punch.,2022
Milwaukee Bucks,"SF, PG",Milwaukee never fully replaced P.J. Tucker’s versatility and needs switchable forwards (SF) and secondary ball-handlers (PG) to maintain their title-contending ceiling.,2022
New York Knicks,"PG, C","The Knicks remain desperate for playmaking with Kemba and Rose gone (PG) and could use a shooting, rim-protecting center (C) to pair alongside Randle.",2022
Orlando Magic,,"With Franz Wagner as their only clear building block, Orlando essentially needs talent at every spot—no position is off the table as they seek to get good players.",2022
Philadelphia 76ers,"SF, C",Philly’s playoff run exposed a lack of 3-and-D wings (SF) and a backup big capable of matching up inside. They must find perimeter shooters and interior rim-protectors.,2022
Toronto Raptors,"SG, C",Toronto appears unsatisfied with its current bigs and lacks consistent shooting. They need a perimeter marksman (SG) and a true center (C) to stabilize both ends.,2022
Washington Wizards,"PG, PF","Washington has cycled through several point guards (PG) and needs a steady ball-handler, plus a mobile frontline defender (PF) to cover ground alongside Wall/Beal.",2022
Dallas Mavericks,SF,"Dallas traded its pick but if it re-enters the draft, the primary need is two-way 3-and-D wings (SF) to surround Luka Doncic.",2022
Denver Nuggets,"SF, C","Denver falls off a cliff when Jokic sits, lacking a reliable backup center (C) and perimeter defenders. They must target 3-and-D wings (SF) and frontcourt depth.",2022
Golden State Warriors,"SF, C",Even dynasties need reinforcements. Golden State values two-way wings (SF) to surround its stars and may also take another athletic big (C) with its late picks.,2022
Houston Rockets,,"Houston is in full rebuild mode and will take the best talent available regardless of position, building around its top-three pick at No. 3 and a late first-rounder.",2022
LA Clippers,"PG, C",The Clippers boast wing depth but lack creation from their guards (PG) and need frontline backup at center (C) to relieve heavy minutes on Jackson/Hartenstein.,2022
LA Lakers,"SF, C","Los Angeles will look for 3-and-D wings (SF) to play alongside LeBron and AD, and a backup big (C) to provide interior defense and rebounding.",2022
Memphis Grizzlies,SG,The Grizzlies are deep but need shooting. Their draft strategy focuses on reliable shooters (SG) who can space the floor for their star-studded core.,2022
Minnesota Timberwolves,"SF, PF",Minnesota needs perimeter depth (SF) to space the floor and frontcourt versatility (PF) that can start alongside Towns or come off the bench.,2022
New Orleans Pelicans,SF,New Orleans must continue adding shooters and defenders on the wing. Their draft focus is 3-and-D wings (SF) to surround Ingram and McCollum.,2022
Oklahoma City Thunder,,"OKC’s mantra is asset gathering. With four picks, they’ll take best-available talent at any position to replenish their rebuilding core.",2022
Phoenix Suns,"PG, C","Phoenix likely won’t swing at a top-10 plug-and-play contributor, but could buy late for a bench playmaker (PG) and a backup big (C) if Ayton departs.",2022
Portland Trail Blazers,"SG, PF","Portland’s bench was its weakness, so they need scoring/shooting (SG) and defensive toughness/versatility in the frontcourt (PF).",2022
Sacramento Kings,SF,Sacramento’s rebuild centers on adding perimeter defenders and shooters. They’ll target 3-and-D wings (SF) or simply the best talent available.,2022
San Antonio Spurs,"SF, PF",The Spurs value two-way wings (SF) and need frontcourt depth—versatile power forwards (PF) who can rebound and stretch the floor.,2022
Utah Jazz,"SF, C","Despite no picks, Utah’s ideal draft additions are 3-and-D wings (SF) and rotational bigs (C) to maintain their identity if they trade into the draft.",2022
Atlanta Hawks,"PG, C","Coming off an incredible second half and postseason, the Hawks have solid depth at pretty much every position besides point guard. Bogdan Bogdanovic can handle a lot of the backup point guard minutes, but Atlanta could benefit from an additional playmaker and ball-handler behind Trae Young. They also could look to fill a short-term need at center, with Onyeka Okongwu expected to be out at least until January after shoulder surgery.",2021
Boston Celtics,"PG, SF","Trading away Kemba Walker leaves a gaping hole at point guard, and last season also showed how thin Boston’s wing rotation is behind Jayson Tatum and Jaylen Brown, so they could certainly use backcourt playmaking and wing depth.",2021
Brooklyn Nets,"PG, SG","Regardless of how Brooklyn handles free agents like Spencer Dinwiddie, they’re going to need to bolster depth at point guard and on the wing—particularly given last season’s health issues—so they’ll look for a cost-controlled playmaker and a 3-and-D wing.",2021
Charlotte Hornets,"C, SG","Charlotte could use a more athletic, rim-running center to pair with LaMelo Ball and another scoring guard off the bench if Malik Monk or Devonte’ Graham depart, making an athletic big and bench shot-creator priorities.",2021
Chicago Bulls,"SF, C","With Zach LaVine and Nikola Vucevic as primary scorers, Chicago needs two-way wing depth around its stars and a reliable backup center to spell Vucevic in the post.",2021
Cleveland Cavaliers,"SF, PF","Cleveland has backcourt scoring covered with Collin Sexton and Darius Garland, and a perimeter stopper in Isaac Okoro, but they still lack a two-way wing who can tie the roster together on both ends of the floor.",2021
Dallas Mavericks,"PG, SF",Dallas is without a first-round pick but desperately needs secondary playmaking alongside Luka Doncic and more 3-and-D wing depth to surround its superstar in any potential move to re-enter the draft.,2021
Denver Nuggets,"SG, C","With Jamal Murray rehabbing an ACL and Will Barton declining his option, Denver needs a true scoring guard to ignite its offense and a dependable backup center behind Nikola Jokic.",2021
Detroit Pistons,"PG, C","In a top-to-bottom rebuild, Detroit holds the No. 1 pick and lacks an elite centerpiece—whether a playmaking guard or a two-way big—so they’re searching for a franchise-changing prospect.",2021
Golden State Warriors,"SF, PG","Golden State won’t rely on its lottery picks’ offense, but time is short for its 30-plus core—so they’ll target polished shot-creators and an experienced playmaker to fortify their 3-and-D perimeter.",2021
Houston Rockets,"SG, C","Post-Harden, Houston needs a blue-chip building block—the No. 2 pick could yield either Jalen Green’s elite scoring upside or Evan Mobley’s two-way big-man versatility.",2021
Indiana Pacers,"SF, PF",Indiana wants a win-now player who can shoot and defend on the perimeter; a two-way wing capable of spacing the floor and guarding multiple positions is their top draft priority.,2021
Los Angeles Clippers,"PG, SG","Assuming Kawhi Leonard stays healthy, the Clippers must add a floor general to relieve pressure on Paul George and a bench scorer to replace Lou Williams’s instant offense.",2021
Los Angeles Lakers,"PG, SG",L.A. needs more half-court playmaking and shooting around LeBron James and Anthony Davis; a difference-making floor general and a reliable 3-point threat headline their draft wishlist.,2021
Memphis Grizzlies,"SF, SG",Memphis wants high-ceiling wing scorers to complement Ja Morant—either a veteran gunner or a developmental 3-and-D wing—to boost their perimeter offense.,2021
Miami Heat,"SF, C","Miami sits out the draft unless they trade back in, but could use more frontcourt depth—both a versatile forward and an athletic center—to sustain their rotational balance.",2021
Milwaukee Bucks,"SG, PG","As defending champions, the Bucks could load up their second unit with microwave scorers and a backup floor general to preserve their title-contending ceiling.",2021
Minnesota Timberwolves,"SF, PF",Minnesota sacrificed its picks but still could upgrade its forward spots—seeking a floor-spacing power forward or versatile small-forward to bolster both ends.,2021
New Orleans Pelicans,"SF, SG","With Zion Williamson as a focal point, New Orleans needs 3-point shooting and perimeter defense; they’re targeting a high-IQ shooter and lockdown wing.",2021
New York Knicks,"SG, PG","New York snapped its drought defensively but ranked low in offensive efficiency, so they need a shot-creator who can also initiate plays in pick-and-roll.",2021
Oklahoma City Thunder,"SG, SF",OKC has multiple picks and needs a primary scorer and two-way wing to spearhead its long-term rebuild alongside Shai Gilgeous-Alexander.,2021
Orlando Magic,"PG, SF",Orlando’s board is blank—everything is on the table—so they’ll follow best-available practice but keep an eye on draft-ready playmakers and wings.,2021
Philadelphia 76ers,"SG, PG","Philly’s needs hinge on Ben Simmons’s fate, but either way they’re seeking perimeter scoring punch and secondary playmaking around Joel Embiid.",2021
Phoenix Suns,"C, PG",Phoenix must replace Dario Saric’s depth at center and Cameron Payne’s bench play; they need a backup rim-runner and a reserve floor general.,2021
Portland Trail Blazers,"PF, SF","Portland has no picks and limited cap space, so they need wing and forward assets—either via trade chips or draft capital—to improve their defense.",2021
Sacramento Kings,"SF, PF",Sacramento’s league-worst defense and thin wing rotation demand a lockdown perimeter defender and frontcourt depth to shore up their rebuild.,2021
San Antonio Spurs,"C, PF",San Antonio values an interior anchor above all—seeking a two-way big man who can protect the rim and stretch the floor as their next cornerstone.,2021
Toronto Raptors,"PG, PF","Toronto faces the Lowry decision and may draft his replacement at point guard, while also considering frontcourt talent to balance their roster.",2021
Utah Jazz,"SF, PF","Despite 52 wins, Utah needs floor-spacing forwards; they want a two-way wing or stretch big to complement Donovan Mitchell and Rudy Gobert.",2021
Washington Wizards,"SF, PF","If Bradley Beal stays, Washington must bolster its forward spots—targeting a plug-and-play wing who can shoot, defend, and add transition playmaking.",2021
Atlanta Hawks,"PG, SG",The Hawks need a viable backup point guard behind Trae Young and more perimeter defense/shooting to offset their league-worst 33.3% from three last season.,2020
Boston Celtics,"C, SF",Boston must replace Bam Adebayo-level interior defense with a long-term center and add wing depth/spacing given uncertainty around Gordon Hayward’s health.,2020
Brooklyn Nets,"SF, PF","Brooklyn’s perimeter defense is lacking, and they need front-court versatility to switch on bigs plus secondary playmaking around Durant/Irving.",2020
Charlotte Hornets,"C, SF",Charlotte’s Cody Zeller era is ending— they need a true center and better two-way wing talent to complement their young backcourt.,2020
Chicago Bulls,"PG, SF",Chicago needs more playmaking and perimeter defense alongside Zach LaVine/Coby White and must improve rebounding around Markkanen/Carter Jr.,2020
Cleveland Cavaliers,"SG, PG",Cleveland’s biggest holes are on the perimeter: they need shooting and two-way wings plus a true secondary ball-handler to run the offense.,2020
Dallas Mavericks,"PF, PG",Dallas must bolster its defense with a pick-and-roll finisher at power forward and add a secondary shot-creator/playmaker behind Luka Doncic.,2020
Denver Nuggets,"PF, SF","Denver’s frontcourt turnover calls for wing-type defenders who can guard and shoot, and added shooting off Jokic’s playmaking.",2020
Detroit Pistons,"PG, SF",Detroit needs a primary ball-handler for its rebuild and more two-way wing talent to shore up a porous defense.,2020
Golden State Warriors,"C, SF",Even dynasties need depth: GS requires rim protection behind its stars and more perimeter defenders/shooters for playoff matchups.,2020
Houston Rockets,"C, SF",Houston prioritizes rebounding and switchable defensive wings who can guard multiple positions in its small-ball system.,2020
Indiana Pacers,"SF, PF",Indiana needs more two-way wing depth to space the floor and front-court mobility to diversify its defensive schemes.,2020
Los Angeles Clippers,"PG, C",LAC must find a distributor to spark ball-movement and a rim-protecting big to stand up in pick-and-roll defense.,2020
Los Angeles Lakers,"PG, SF",L.A. needs long-term ball-handling to replace aging vets and another perimeter defender/shooter to preserve LeBron’s energy.,2020
Memphis Grizzlies,"SG, SF",Memphis seeks a true shooting guard upgrade off the bench and more perimeter defense/shooting to support Ja Morant.,2020
Miami Heat,"PG, C","Miami’s ball-handling depth is thin behind Goran Dragic, and they lack a true backup center for front-court stability.",2020
Milwaukee Bucks,"PG, SG",Milwaukee needs another playmaking guard to complement Jrue Holiday and more reliable perimeter shooting around Giannis.,2020
Minnesota Timberwolves,"SF, SG",Minnesota’s defense ranks near the bottom; they must prioritize 3-and-D wing talent with star-upside to pair with Towns/Wiggins.,2020
New Orleans Pelicans,"PF, PG",New Orleans must add front-court shooting next to Zion Williamson and a true pick-and-roll guard to free up the floor.,2020
New York Knicks,"PG, SG",NYK needs spacing via perimeter shooting and a lead guard to set up RJ Barrett and Mitchell Robinson in their rebuild.,2020
Oklahoma City Thunder,"PG, SG",OKC is rebuilding around Shai Gilgeous-Alexander and needs another playmaker plus a sharpshooting combo guard for spacing.,2020
Orlando Magic,"PG, C",Orlando’s offense lacks orchestration; they need a primary ball-handler and rim protection behind Jonathan Isaac/Vucevic.,2020
Philadelphia 76ers,"PG, SG",Philly must find a true point guard to run the offense and more perimeter shooting to complement Embiid/Simmons.,2020
Phoenix Suns,"PG, C",Phoenix needs a long-term floor general for Booker and a backup center to replace outgoing free agents.,2020
Portland Trail Blazers,"SF, C",Portland entered last season without a true small forward and lacks depth behind Nurkic—defensive wings and backup bigs are a must.,2020
Sacramento Kings,"C, SF",Sacramento’s defense and rebounding were league-worst; they need a long-term center and athletic perimeter defenders.,2020
San Antonio Spurs,"PF, SG",San Antonio needs a new power forward to replace aging stars and younger shooters to boost its three-point efficiency.,2020
Toronto Raptors,"C, PG",Toronto must replace Ibaka/Gasol inside and find a succession plan at point guard behind Kyle Lowry.,2020
Utah Jazz,"PG, SF",Utah’s bench lacked two-way contributors; they need backcourt playmaking and perimeter defenders/shooters.,2020
Washington Wizards,"PG, PF",Washington’s rebuild requires finding Wall’s successor at point guard and adding front-court rebounding/mobility at power forward.,2020
Atlanta Hawks,"PF, PG",Atlanta needs frontcourt depth to replace injured bigs and backcourt depth to spell Teague & Korver on the perimeter.,2014
Boston Celtics,"PF, C",Boston’s mismatched roster cries out for frontcourt building blocks—young power forwards and centers—to complement its veterans.,2014
Brooklyn Nets,"PG, C","Brooklyn’s cap‑heavy, veteran roster has no picks, so its primary needs—if it did draft—would be a playmaking point guard and an interior big.",2014
Charlotte Hornets,"SG, SF","Charlotte excelled defensively but struggled offensively, making perimeter shooting (SG) and wing depth (SF) top priorities.",2014
Chicago Bulls,"SF, SG","Punchless on offense without Rose, Chicago needs a two‑way small forward and perimeter scoring guard to space the floor.",2014
Cleveland Cavaliers,"SF, PF",Cleveland is in search of a franchise‑changing wing and frontcourt talent—two‑way small forwards and athletic power forwards.,2014
Dallas Mavericks,"C, SF","With Nowitzki, Marion and Carter hitting free agency, Dallas must add a rim‑protecting center and a versatile small forward.",2014
Denver Nuggets,"SG, PG","Under Brian Shaw, Denver lacks an identity and a true two‑guard, so backcourt shooting guards and floor‑general point guards are needed.",2014
Detroit Pistons,"PF, PG",Van Gundy inherits a roster in flux and needs to decide on frontcourt (PF) while adding a scoring guard/secondary ball‑handler (PG).,2014
Golden State Warriors,"PG, C",Golden State’s star‑loaded roster still lacks a reliable backup point guard and interior depth behind its core frontcourt.,2014
Houston Rockets,"PF, SF",Houston seeks a power forward to shore up its frontcourt and depth at small forward to complement its small‑ball attack.,2014
Indiana Pacers,"SG, C",Indiana’s bench needs scoring (SG) and its starting five needs interior toughness (C) alongside George and Hibbert.,2014
Los Angeles Clippers,"PF, C","With Sterling drama aside, LAC’s on‑court need is frontcourt depth—backup power forwards and centers behind Griffin/DJ.",2014
Los Angeles Lakers,"PG, SF","Post‑Kobe, L.A. must replenish its backcourt lead guard (PG) and two‑way wing (SF) to jump‑start its rebuild.",2014
Memphis Grizzlies,"SF, SG",Memphis needs a developmental small forward and a scoring shooting guard to round out its veteran‑heavy rotation.,2014
Miami Heat,"PG, PF","Even if LeBron/Wade/Bosh return, Miami must fortify its point‑guard play and add frontcourt depth at power forward.",2014
Milwaukee Bucks,"PG, SF",Milwaukee’s young core needs secondary playmakers (PG) and perimeter wing scoring (SF) to support its rebuild.,2014
Minnesota Timberwolves,"PF, SF","Facing a post‑Love lottery, Minnesota should target wings and power forwards to build around Rubio and Pekovic.",2014
New Orleans Pelicans,"C, SG","Without a first‑round pick, New Orleans still has a hole at rim‑protecting center (C) and reliable shooting guard (SG).",2014
New York Knicks,"PG, SF",The Knicks face a total rebuild and urgently need a lead guard (PG) and two‑way wing (SF) if Melo stays or goes.,2014
Oklahoma City Thunder,"SG, C",OKC must plan for Sefolosha/Perkins departures by drafting bench shooting guards and interior bigs for depth.,2014
Orlando Magic,"PG, SF","Orlando’s top need is a dynamic point guard, followed by floor‑stretching wings to complement Howard.",2014
Philadelphia 76ers,"SG, SF",Philly gutted its roster and has massive gaps at both wing spots—shooting guards and small forwards are critical.,2014
Phoenix Suns,"PF, C","Phoenix holds three first‑rounders but should resist rushing, focusing instead on frontcourt assets—PF and C.",2014
Portland Trail Blazers,"SG, PF",Portland forfeited picks but still needs bench punch—shooting guards and power forwards to bolster its second unit.,2014
Sacramento Kings,"PG, SG",Sacramento’s glut of frontcourt pieces calls for backcourt balance—lead guards (PG) and perimeter shooters (SG).,2014
San Antonio Spurs,"PG, SF","Assuming Duncan returns, the Spurs need a backup point guard and wing depth to sustain their championship identity.",2014
Toronto Raptors,"C, PG",Toronto must keep Lowry and add a rim‑protecting center (C) plus a back‑up point guard (PG) to shore up depth.,2014
Utah Jazz,"PF, PG",Utah’s core of Burke/Hayward/Favors leaves needs at power forward (PF) and backcourt depth (PG).,2014
