Prospect,Team_or_College,category,Full name,Date of birth,Place of birth,Listed height,Listed weight,College(s) or Teams,Position,Nationality,Career highlights and awards
Alex Caruso,Texas A&M,ncaa,Alex Michael Caruso,"February 28, 1994","College Station, Texas, U.S.",6 ft 5 in,186 lb,Texas A&M (2012–2016),Shooting guard / small forward,American,"NBA champion (2020), NBA All-Defensive First Team (2023), NBA All-Defensive Second Team (2024), Second-team All-NBA G League (2018), Second-team All-SEC (2016), SEC All-Defensive Team (2015)"
Khris Middleton,Texas A&M,ncaa,James Khristian Middleton,"August 12, 1991","Charleston, South Carolina, U.S",6 ft 7 in,222 lb,Texas A&M (2009–2012),Small forward,American,"NBA champion (2021), NBA Cup champion (2024), 3× NBA All-Star (2019, 2020, 2022), Second-team All-Big 12 (2011)"
Isaiah Cousins,Oklahoma,ncaa,Isaiah De Vonte Cousins,"March 13, 1994","Mount Vernon, New York, U.S.",6 ft 4 in,191 lb,Oklahoma (2012–2016),Point guard / shooting guard,American,"ENBL MVP (2025), Israeli League Cup winner (2019), Third-team All-Big 12 (2016), First-team Parade All-American (2012)"
Robert Dillingham,Kentucky,ncaa,Robert Deon Potasi Dillingham,"January 4, 2005","Hickory, North Carolina, U.S.",6 ft 3 in,160 lb,Kentucky (2023–2024),Point guard / shooting guard,American,"Second-team All-SEC (2024), SEC Sixth Man of the Year (2024), SEC All-Freshman Team (2024), FIBA Americas Under-16 Championship MVP (2021)"
Dexter Pittman,Texas,ncaa,Dexter Jerome Pittman,"March 2, 1988","Houston, Texas, U.S.",6 ft 11 in,285 lb,Texas (2006–2010),Center,American,"NBA champion (2012), NBA D-League All-Star (2011)"
Dillon Jones,Weber State,ncaa,Dillon Keshaun Jones,"October 29, 2001","Columbia, South Carolina, U.S.",6 ft 5 in,235 lb,Weber State (2020–2024),Small forward,American,"Big Sky Player of the Year (2024), 3× First-team All-Big Sky (2022–2024), Big Sky Freshman of the Year (2021)"
Taj Gibson,USC,ncaa,Taj Jami Gibson,"June 24, 1985","New York City, New York, U.S.",6 ft 9 in,232 lb,USC (2006–2009),Center / power forward,American,"NBA All-Rookie First Team (2010), Second-team All-Pac-10 (2009), Third-team All-Pac-10 (2008), Pac-10 Defensive Player of the Year (2009)"
D.J. Hogg,Texas A&M,ncaa,"Dennis Edward ""D. J."" Hogg Jr.","September 3, 1996","Columbus, Ohio, U.S.",6 ft 9 in,238 lb,Texas A&M (2015–2018),Small forward,American,"NBA G League champion (2021), All-NBL Second Team (2023)"
Malaki Branham,Ohio State,ncaa,Malaki Lamar Branham,"May 12, 2003","Columbus, Ohio, U.S.",6 ft 4 in,180 lb,Ohio State (2021–2022),Shooting guard,American,"Big Ten Freshman of the Year (2022), Big Ten All-Freshman Team (2022), Third-team All-Big Ten (2022), Jordan Brand Classic (2021), Ohio Mr. Basketball (2021)"
Jawun Evans,Oklahoma St.,ncaa,Jawun B. Evans,"July 26, 1996","Greenville, South Carolina, U.S.",6 ft 0 in,190 lb,Oklahoma State (2015–2017),Point guard,American,"Third-team All-American – SN (2017), First-team All-Big 12 (2017), Big 12 Freshman of the Year (2016), McDonald's All-American (2015), First-team Parade All-American (2015)"
Chris Livingston,Kentucky,ncaa,Christopher Livingston,"October 15, 2003","Akron, Ohio, U.S.",6 ft 6 in,220 lb,Kentucky (2022–2023),Power forward / small forward,American,"NBA Cup champion (2024), SEC All-Freshman Team (2023), McDonald's All-American (2022), Jordan Brand Classic (2022), FIBA Americas Under-16 Championship MVP (2019)"
Jared Sullinger,Ohio St.,ncaa,Jared Malcolm Xavier Sullinger,"March 4, 1992","Columbus, Ohio, U.S.",6 ft 9 in,260 lb,Ohio State (2010–2012),Power forward / center,American,"CBA International MVP (2024), CBA rebounding leader (2018, 2023), KBL Playoffs MVP (2021), Consensus first-team All-American (2011, 2012), USBWA National Freshman of the Year (2011), Big Ten Freshman of the Year (2011), First-team All-Big Ten (2011, 2012), Big Ten tournament MOP (2011), Big Ten All-Freshman Team (2011), Naismith Prep Player of the Year (2010), McDonald's All-American Game Co-MVP (2010), First-team Parade All-American (2010), Second-team Parade All-American (2009), Ohio Mr. Basketball (2009, 2010)"
Bronny James,USC,ncaa,"LeBron Raymone ""Bronny"" James Jr. ","October 6, 2004","Akron, Ohio, U.S.",6 ft 3 in,210 lb,USC (2023–2024),Shooting guard / point guard,American,McDonald's All-American (2023)
Stanley Robinson,UConn,ncaa,Stanley Earl Robinson,"July 14, 1988","Birmingham, Alabama",6 ft 9 in,220 lb,UConn (2006–2010),Forward,American,"NBA D-League champion (2011), Second-team Parade All-American (2006), Alabama Mr. Basketball (2006)"
Jaylen Barford,Arkansas,ncaa,Jaylen Maurice Barford,"January 23, 1996",,6 ft 3 in,203 lb,Arkansas (2016–2018),Shooting guard,American,"All-VTB United League First Team (2023), First-team All-SEC (2018)"
Josh Green,Arizona,ncaa,Joshua Benjamin Green,16 November 2000,"Sydney, New South Wales, Australia",6 ft 5 in,200 lb,Arizona (2019–2020),Shooting guard / small forward,Australian,McDonald's All-American (2019)
Kyle Fogg,Arizona,ncaa,Kyle Edward Fogg,"January 27, 1990","Brea, California",6 ft 3 in,188 lb,Arizona (2008–2012),Point guard,American,"3× CBA champion (2022–2024), CBA Finals MVP (2024), EuroCup champion (2017), All-EuroCup Second Team (2017), Bundesliga scoring champion (2016), Korisliiga MVP (2014), Korisliiga scoring champion (2014), NBA D-League champion (2013), First-team All-Pac-12 (2012)"
Tiny Gallon,Oklahoma,ncaa,"Keith Lee ""Tiny"" Gallon","January 18, 1991","Vallejo, California",6 ft 9 in,275 lb,Oklahoma (2009–2010),Power forward / center,American,"2× NBL China scoring champion (2014, 2015), Third-team Parade All-American (2009), McDonald's All-American (2009)"
Duane Washington Jr.,Ohio State,ncaa,Duane Eddy Washington Jr.,"March 24, 2000","Frankfurt, Germany",6 ft 3 in,197 lb,Ohio State (2018–2021),Shooting guard / point guard,American / German,Third-team All-Big Ten (2021)
Tristan Thompson,Texas,ncaa,Tristan Trevor James Thompson,"March 13, 1991","Brampton, Ontario, Canada",6 ft 9 in,254 lb,Texas (2010–2011),Centre,Canadian / American,"NBA champion (2016), NBA All-Rookie Second Team (2012), Second-team All-Big 12 (2011), Big 12 Freshman of the Year (2011), Second-team Parade All-American (2010), McDonald's All-American (2010)"
Cameron Payne,Murray State,ncaa,Cameron Payne,"August 8, 1994","Memphis, Tennessee, U.S.",6 ft 3 in,183 lb,Murray State (2013–2015),Point guard / shooting guard,American,"OVC Player of the Year (2015), Lute Olson Award (2015), First-team All-OVC (2014, 2015), OVC Freshman of the Year (2014), No. 1 retired by Murray State Racers"
Daniel Orton,Kentucky,ncaa,Daniel Joseph Orton,"August 6, 1990","Oklahoma City, Oklahoma, U.S.",6 ft 10 in,265 lb,Kentucky (2009–2010),Power forward / center,American,
Julius Randle,Kentucky,ncaa,Julius Deion Randle,"November 29, 1994","Dallas, Texas, U.S.",6 ft 9 in,250 lb,Kentucky (2013–2014),Power forward / center,American,"NBA All-Star (2021, 2023, 2024), All-NBA Second Team (2021), All-NBA Third Team (2023), NBA Most Improved Player (2021), Third-team All-American – AP, NABC (2014), SEC Rookie of the Year (2014), First-team All-SEC (2014), McDonald's All-American (2013)"
Damion James,Texas,ncaa,Damion Marquez Williams James,"October 7, 1987","Hobbs, New Mexico, U.S.",6 ft 7 in,225 lb,Texas (2006–2010),Small forward,American,"NBA champion (2014), BSN champion (2018), BSN Foreign MVP (2016), BSN All-Star (2016), BSN All-Defensive Team (2016), FIBA Intercontinental Cup champion (2016), BSN scoring champion (2016), NBA D-League All-Star (2013), All-NBA D-League Second Team (2013), NBA D-League All-Defensive First Team (2013), Second-team All-American – TSN (2010), Third-team All-American – AP (2010), Second-team All-Big 12 (2009), Second-team Parade All-American (2006)"
Klay Thompson,Washington State,ncaa,Klay Alexander Thompson,"February 8, 1990","Los Angeles, California, U.S.",6 ft 5 in,220 lb,Washington State (2008–2011),Shooting guard / small forward,American,"4× NBA champion (2015, 2017, 2018, 2022), 5× NBA All-Star (2015–2019), 2× All-NBA Third Team (2015, 2016), NBA All-Defensive Second Team (2019), NBA Three-Point Contest champion (2016), NBA All-Rookie First Team (2012), 2× First-team All-Pac-10 (2010, 2011), No. 1 retired by Washington State Cougars"
Jonathan Isaac,Florida State,ncaa,Jonathan Judah Isaac,"October 3, 1997","The Bronx, New York, U.S.",6 ft 10 in,230 lb,Florida State (2016–2017),Power forward / small forward,American,ACC All-Freshman team (2017)
Marcus Bagley,Arizona State,ncaa,Marcus Bagley,"October 23, 2001","Tempe, Arizona, U.S.",6 ft 6 in,217 lb,Arizona State (2020–2023),Small forward,American,
Landry Shamet,Wichita State,ncaa,Landry Michael Shamet ,"March 13, 1997","Kansas City, Missouri, U.S.",6 ft 4 in,190 lb,Wichita State (2015–2018),Shooting guard,American,"NBA All-Rookie Second Team (2019), NBA G League Winter Showcase champion (2024), First-team All-AAC (2018), First-team All-MVC (2017), MVC Freshman of the Year (2017)"
Robert Williams,Texas A&M,ncaa,Robert Lee Williams III,"October 17, 1997","Shreveport, Louisiana, U.S.",6 ft 9 in,249 lb,Texas A&M (2016–2018),Center / power forward,American,"NBA All-Defensive Second Team (2022), SEC Defensive Player of the Year (2017, 2018), Second-team All-SEC (2017), SEC All-Freshman Team (2017), SEC All-Defensive Team (2017, 2018)"
Eric Bledsoe,Kentucky,ncaa,Eric Bledsoe,"December 9, 1989","Birmingham, Alabama, U.S.",6 ft 1 in,214 lb,Kentucky (2009–2010),Point guard / shooting guard,American,"CBA Club Cup champion (2025), CBA Club Cup Final MVP (2025), NBA All-Defensive First Team (2019), NBA All-Defensive Second Team (2020), NBA All-Rookie Second Team (2011), SEC All-Rookie Team (2010)"
TJ Leaf,UCLA,ncaa,Ty Jacob Leaf ,"April 30, 1997","Tel Aviv, Israel",6 ft 10 in,222 lb,UCLA (2016–2017),Power forward,Israeli / American,"First-team All-Pac-12 (2017), Pac-12 All-Freshman team (2017), McDonald's All-American (2016)"
Patrick Williams,Florida State,ncaa,Patrick Lee Williams ,"August 26, 2001","Charlotte, North Carolina, U.S.",6 ft 7 in,215 lb,Florida State (2019–2020),Power forward,American,"NBA All-Rookie Second Team (2021), ACC Sixth Man of The Year (2020), ACC All-Freshman Team (2020)"
Tyson Etienne,Wichita State,ncaa,Tyson Etienne,"September 17, 1999","Englewood, New Jersey, U.S.",6 ft 2 in,200 lb,Wichita State (2019–2022),Point guard / shooting guard,American,"AAC co-Player of the Year (2021), First-team All-AAC (2021), Third-team All-AAC (2022)"
Drew Peterson,USC,ncaa,Drew B. Peterson ,"November 9, 1999","Libertyville, Illinois, U.S.",6 ft 9 in,205 lb,"Rice (2018–2020), USC (2020–2023)",Small forward / power forward,American,"NBA champion (2024), 2× First-team All-Pac-12 (2022, 2023)"
Jrue Holiday,UCLA,ncaa,Jrue Randall Holiday,"June 12, 1990","Los Angeles, California, U.S.",6 ft 4 in,205 lb,UCLA (2008–2009),Point guard / shooting guard,American,"2× NBA champion (2021, 2024), 2× NBA All-Star (2013, 2023), 3× NBA All-Defensive First Team (2018, 2021, 2023), 3× NBA All-Defensive Second Team (2019, 2022, 2024), 3× Twyman-Stokes Teammate of the Year Award (2020, 2022, 2023), NBA Sportsmanship Award (2021), Pac-10 All-Freshman Team (2009), Gatorade National Player of the Year (2008), First-team Parade All-American (2008), Third-team Parade All-American (2007), McDonald's All-American (2008), California Mr. Basketball (2008)"
Tevin Brown,Murray State,ncaa,Tevin Brown,"September 23, 1998","Fairhope, Alabama, U.S.",6 ft 5 in,175 lb,Murray State (2018–2022),Shooting guard,American,"NZNBL champion (2023), NZNBL Grand Final MVP (2023), NZNBL All-Star Five (2023), CEBL Clutch Player of the Year (2024), 3× First-team All-OVC (2020–2022)"
Zeke Nnaji,Arizona,ncaa,"Ezekiel Tobechukwu ""Zeke"" Nnaji","January 9, 200","Minneapolis, Minnesota, U.S.",6 ft 9 in,240 lb,Arizona (2019–2020),Power forward / center,American,"NBA champion (2023), First-team All-Pac-12 (2020), Pac-12 Freshman of the Year (2020), Pac-12 All-Freshman team (2020)"
Jaylen Wells,Washington State,ncaa,Jaylen Wells,"August 26, 2003","Sacramento, California, U.S.",6 ft 8 in,205 lb,"Sonoma State (2021–2023), Washington State (2023–2024)",Small forward/shooting guard,American,"CCAA Player of the Year (2023), First-team All-CCAA (2023)"
Onyeka Okongwu,USC,ncaa,Onyeka Okongwu,"December 11, 2000","Los Angeles, California, U.S",6 ft 10 in,240 lb,USC (2019–2020),Center / power forward,American,"First-team All-Pac-12 (2020), 2× California Mr. Basketball (2018, 2019)"
Chet Holmgren,Gonzaga,ncaa,Chet Thomas Holmgren,"May 1, 2002","Minneapolis, Minnesota, U.S.",7 ft 1 in,208 lb,Gonzaga (2021–2022),Center / power forward,American,"NBA All-Rookie First Team (2024), Consensus second-team All-American (2022), WCC Defensive Player of the Year (2022), WCC Newcomer of the Year (2022), First-team All-WCC (2022), WCC All-Freshman Team (2022), National high school player of the year (2021), McDonald's All-American (2021), Jordan Brand Classic (2021), Nike Hoop Summit (2021), Minnesota Mr. Basketball (2021), FIBA Under-19 World Cup MVP (2021)"
Chinemelu Elonu,Texas A&M,ncaa,Chinemelu David Elonu Jr.,"March 11, 1987","Enugu, Nigeria",6 ft 10 in,235 lb,Texas A&M (2006–2009),Center,Nigerian,"BAL champion (2021), FIBA Champions League champion (2018), Greek Cup winner (2018), 2× BSN champion (2018, 2021), BSN rebounding leader (2022), 3× BSN blocks leader (2020–2022), LEB Oro champion (2010), First-team All-Big 12 (2009)"
Tyger Campbell,UCLA,ncaa,Tyger Campbell,"January 9, 2000","Cedar Rapids, Iowa, U.S",5 ft 11 in,180 lb,UCLA (2018–2023),Point guard,American,3× First-team All-Pac-12 (2021–2023)
Grayson Allen,Duke,ncaa,Grayson James Allen,"October 8, 1995","Jacksonville, Florida, U.S.",6 ft 4 in,198 lb,Duke (2014–2018),Shooting guard,American,"NCAA champion (2015), Second-team All-American – SN (2016), Third-team All-American – AP, NABC (2016), First-team All-ACC (2016), Third-team All-ACC (2018), McDonald's All-American (2014)"
Terrel Harris,Oklahoma State,ncaa,Terrel Andre Harris,"August 10, 1987","Dallas, Texas, U.S.",6 ft 4 in,190 lb,Oklahoma State (2005–2009),Shooting guard,American,"NBA champion (2012), Big 12 All-Defensive team (2009)"
Michael Qualls,Arkansas,ncaa,Michael Rashad Qualls,"January 20, 1994","Shreveport, Louisiana, U.S.",6 ft 4 in,202 lb,Arkansas (2012–2015),Shooting guard,American,"All-IBL Indonesia First Team (2024), IBL scoring champion (2024), Second-team All-SEC (2015)"
Christian Koloko,Arizona,ncaa,Christian Junior Koloko,"June 20, 2000","Douala, Cameroon",7 ft 0 in,220 lb,Arizona (2019–2022),Center,Cameroonian,"First-team All-Pac-12 (2022), Pac-12 Defensive Player of the Year (2022), Pac-12 Most Improved Player (2022), Pac-12 All-Defensive Team (2022)"
Rawle Alkins,Arizona,ncaa,Rawle Prince Alkins,"October 29, 1997","Brooklyn, New York",6 ft 5 in,225 lb,Arizona (2016–2018),Small forward / Guard,American,Pac-12 All-Freshman Team (2017)
Deyonta Davis,Michigan State,ncaa,Deyonta Davis,"December 2, 1996","Muskegon, Michigan, U.S.",6 ft 11 in,237 lb,Michigan State (2015–2016),Power forward / center,American,"2× T1 League All-Defensive First Team (2022, 2023), 2× T1 League blocks leader (2022, 2023), McDonald's All-American (2015), First-team Parade All-American (2015), Mr. Basketball of Michigan (2015)"
Art Parakhouski,Radford,international,Artsiom Parakhouski,"October 6, 1987","Minsk, Byelorussian SSR, Soviet Union",6 ft 11 in,281 lb,"College of Southern Idaho (2006–2008), Radford (2008–2010)",Center,Belarusian,"ABA League Supercup (2019), King Mindaugas Cup winner (2019), King Mindaugas Cup MVP (2019), Israeli League champion (2018), Israeli League Cup winner (2017), Latvian Basketball League champion (2011), Baltic League Regular Season MVP (2011), EuroLeague Block Leader (2015), All-VTB United League Second Team (2017), Turkish League Blocks Leader (2013), NCAA rebounding leader (2010), 2× Big South Player of the Year (2009, 2010), 2× First-team All-Big South (2009, 2010)"
Paul Reed,DePaul,international,Paul Reed,"June 14, 1999","Orlando, Florida, U.S.",6 ft 9 in,210 lb,DePaul (2017–2020),Center / power forward,American,"NBA G League MVP (2021), NBA G League Rookie of the Year (2021), All-NBA G League First Team (2021), NBA G League All-Defensive Team (2021), NBA G League All-Rookie Team (2021), Second-team All-Big East (2020), Big East Most Improved Player (2019)"
Marius Grigonis,Lithuania,international,Marius Grigonis,26 April 1994,"Kaunas, Lithuania",6 ft 6 in,205 lb,Manresa (2014-2016),Small forward / shooting guard,Lithuanian,"EuroLeague champion (2024), EuroLeague 50–40–90 club (2021), Greek League champion (2024), Greek Cup winner (2025), VTB United League Supercup winner (2021), 2x King Mindaugas Cup winner (2020, 2021), 3× Lithuanian League champion (2019–2021), All-Lithuanian League Team (2019), Champions League champion (2017), Champions League Final Four MVP (2017), All-LEB Oro team (2014)"
Malcolm Cazalon,Mega,international,Malcolm Jean Ahmed Cazalon,27 August 2001,"Roanne, France",6 ft 6 in,185 lb,Mega Basket (2020-2023),Shooting guard,French,
Michael Frazier II,Florida,international,Michael Frazier II,"March 8, 1994","Tampa, Florida, U.S.",6 ft 3 in,200 lb,Florida (2012–2015),Shooting guard,American,"NBA G League champion (2019), NBA G League Most Improved Player (2019), SEC All-Freshman Team (2013)"
Baylor Scheierman,Creighton,international,Baylor Arthur Scheierman,"September 26, 2000","Hastings, Nebraska, U.S.",6 ft 6 in,205 lb,"South Dakota State (2019–2022), Creighton (2022–2024)",Shooting guard / small forward,American,"Third-team All-American – AP, USBWA, NABC, SN (2024), Summit League Player of the Year (2022), 2× First-team All-Summit League (2021, 2022), First-team All-Big East (2024)"
Cedric Jackson,Cleveland St.,international,Cedric Lamar Jackson,"March 5, 1986","Alamogordo, New Mexico, U.S.",6 ft 3 in,209 lb,"St. John's (2004–2006), Cleveland State (2007–2009)",Point guard,American,"NAPB champion (2018), 3× NBL champion (2012, 2013, 2015), 2× NBL Grand Final MVP (2013, 2015), NBL Most Valuable Player (2013), 3× All-NBL First Team (2012, 2013, 2015), 5× NBL assists leader (2012, 2013, 2015–2017), NBA D-League All-Star (2011), NBA D-League All-Defensive Second Team (2011), 2× Second-team All-Horizon League (2008, 2009), Horizon League Defensive Player of the Year (2009), 2× Horizon League All-Defensive Team (2008, 2009), Horizon League All-Newcomer Team (2008)"
