Prospect,Field,Gold,Predicted
Bronny James,Listed height,6 ft 3 in,
Stanley Robinson,Listed height,6 ft 9 in,
Jaylen Barford,Listed height,6 ft 3 in,
Josh Green,Listed height,6 ft 5 in,
Kyle Fogg,Listed height,6 ft 3 in,
Tiny Gallon,Listed height,6 ft 9 in,
Duane Washington Jr.,Listed height,6 ft 3 in,
Tristan Thompson,Listed height,6 ft 9 in,
Cameron Payne,Listed height,6 ft 3 in,
Daniel Orton,Listed height,6 ft 10 in,
Julius Randle,Listed height,6 ft 9 in,
Damion James,Listed height,6 ft 7 in,
Klay Thompson,Listed height,6 ft 5 in,
Jonathan Isaac,Listed height,6 ft 10 in,
Marcus Bagley,Listed height,6 ft 6 in,
Landry Shamet,Listed height,6 ft 4 in,
Robert Williams,Listed height,6 ft 9 in,
Eric Bledsoe,Listed height,6 ft 1 in,
TJ Leaf,Listed height,6 ft 10 in,
Patrick Williams,Listed height,6 ft 7 in,
Tyson Etienne,Listed height,6 ft 2 in,
Drew Peterson,Listed height,6 ft 9 in,
Jrue Holiday,Listed height,6 ft 4 in,
Tevin Brown,Listed height,6 ft 5 in,
Zeke Nnaji,Listed height,6 ft 9 in,
Jaylen Wells,Listed height,6 ft 8 in,
Onyeka Okongwu,Listed height,6 ft 10 in,
Chet Holmgren,Listed height,7 ft 1 in,
Chinemelu Elonu,Listed height,6 ft 10 in,
Tyger Campbell,Listed height,5 ft 11 in,
Grayson Allen,Listed height,6 ft 4 in,
Terrel Harris,Listed height,6 ft 4 in,
Michael Qualls,Listed height,6 ft 4 in,
Christian Koloko,Listed height,7 ft 0 in,
Rawle Alkins,Listed height,6 ft 5 in,
Deyonta Davis,Listed height,6 ft 11 in,
Art Parakhouski,Listed height,6 ft 11 in,
Paul Reed,Listed height,6 ft 9 in,
Marius Grigonis,Listed height,6 ft 6 in,
Malcolm Cazalon,Listed height,6 ft 6 in,
Michael Frazier II,Listed height,6 ft 3 in,
Baylor Scheierman,Listed height,6 ft 6 in,
Cedric Jackson,Listed height,6 ft 3 in,
Chris Singleton,Listed height,6 ft 9 in,
Jacob Evans,Listed height,6 ft 4 in,
Jimmer Fredette,Listed height,6 ft 2 in,
Joel Berry,Listed height,6 ft 0 in,
DaRon Holmes,Listed height,6 ft 10 in,
Satnam Singh Bhamara,Listed height,7 ft 2 in,
Ulrich Chomche,Listed height,6 ft 11 in,
Patrick Mills,Listed height,6 ft 2 in,
Geron Johnson,Listed height,6 ft 4 in,
Boban Marjanovic,Listed height,7 ft 4 in,
Robert Upshaw,Listed height,7 ft 0 in,
Tomas Satoransky,Listed height,6 ft 7 in,
Damien Inglis,Listed height,6 ft 8 in,
Scoot Henderson,Listed height,6 ft 3 in,
Sidy Cissoko,Listed height,6 ft 6 in,
Mojave King,Listed height,6 ft 5 in,
Matas Buzelis,Listed height,6 ft 10 in,
Dyson Daniels,Listed height,6 ft 7 in,
Michael Foster Jr.,Listed height,6 ft 8 in,
Jonathan Kuminga,Listed height,6 ft 7 in,
Jalen Green,Listed height,6 ft 4 in,
Tyler Smith,Listed height,6 ft 9 in,
Daishen Nix,Listed height,6 ft 4 in,
M.J. Walker,Listed weight,213 lb,
Blake Griffin,Listed weight,250 lb,
Kaleb Wesson,Listed weight,250 lb,
Anthony Barber,Listed weight,174 lb,
Aaron Gordon,Listed weight,235 lb,
Branden Dawson,Listed weight,230 lb,
Karl-Anthony Towns,Listed weight,248 lb,
DeAndre Liggins,Listed weight,209 lb,
Bryson Williams,Listed weight,240 lb,
DeMarcus Cousins,Listed weight,270 lb,
James Anderson,Listed weight,215 lb,
Jordan Bachynski,Listed weight,254 lb,
Solomon Hill,Listed weight,226 lb,
Austin Reaves,Listed weight,197 lb,
TyTy Washington Jr.,Listed weight,195 lb,
Jodie Meeks,Listed weight,210 lb,
Keita Bates-Diop,Listed weight,229 lb,
Marvin Bagley,Listed weight,235 lb,
Keshad Johnson,Listed weight,230 lb,
Kevin Palmer,Listed weight,210 lb,
Willie Warren,Listed weight,200 lb,
Robert Covington,Listed weight,209 lb,
Alex Caruso,Listed weight,186 lb,
Khris Middleton,Listed weight,222 lb,
Isaiah Cousins,Listed weight,191 lb,
Robert Dillingham,Listed weight,160 lb,
Dexter Pittman,Listed weight,285 lb,
Dillon Jones,Listed weight,235 lb,
Taj Gibson,Listed weight,232 lb,
D.J. Hogg,Listed weight,238 lb,
Malaki Branham,Listed weight,180 lb,
Jawun Evans,Listed weight,190 lb,
Chris Livingston,Listed weight,220 lb,
Jared Sullinger,Listed weight,260 lb,
Bronny James,Listed weight,210 lb,
Stanley Robinson,Listed weight,220 lb,
Jaylen Barford,Listed weight,203 lb,
Josh Green,Listed weight,200 lb,
Kyle Fogg,Listed weight,188 lb,
Tiny Gallon,Listed weight,275 lb,
Duane Washington Jr.,Listed weight,197 lb,
Tristan Thompson,Listed weight,254 lb,
Cameron Payne,Listed weight,183 lb,
Daniel Orton,Listed weight,265 lb,
Julius Randle,Listed weight,250 lb,
Damion James,Listed weight,225 lb,
Klay Thompson,Listed weight,220 lb,
Jonathan Isaac,Listed weight,230 lb,
Marcus Bagley,Listed weight,217 lb,
Landry Shamet,Listed weight,190 lb,
Robert Williams,Listed weight,249 lb,
Eric Bledsoe,Listed weight,214 lb,
TJ Leaf,Listed weight,222 lb,
Patrick Williams,Listed weight,215 lb,
Tyson Etienne,Listed weight,200 lb,
Drew Peterson,Listed weight,205 lb,
Jrue Holiday,Listed weight,205 lb,
Tevin Brown,Listed weight,175 lb,
Zeke Nnaji,Listed weight,240 lb,
Jaylen Wells,Listed weight,205 lb,
Onyeka Okongwu,Listed weight,240 lb,
Chet Holmgren,Listed weight,208 lb,
Chinemelu Elonu,Listed weight,235 lb,
Tyger Campbell,Listed weight,180 lb,
Grayson Allen,Listed weight,198 lb,
Terrel Harris,Listed weight,190 lb,
Michael Qualls,Listed weight,202 lb,
Christian Koloko,Listed weight,220 lb,
Rawle Alkins,Listed weight,225 lb,
Deyonta Davis,Listed weight,237 lb,
Art Parakhouski,Listed weight,281 lb,
Paul Reed,Listed weight,210 lb,
Marius Grigonis,Listed weight,205 lb,
Malcolm Cazalon,Listed weight,185 lb,
Michael Frazier II,Listed weight,200 lb,
Baylor Scheierman,Listed weight,205 lb,
Cedric Jackson,Listed weight,209 lb,
Chris Singleton,Listed weight,239 lb,
Jacob Evans,Listed weight,210 lb,
Jimmer Fredette,Listed weight,195 lb,
Joel Berry,Listed weight,195 lb,
DaRon Holmes,Listed weight,225 lb,
Satnam Singh Bhamara,Listed weight,400 lb,
Ulrich Chomche,Listed weight,210 lb,
Patrick Mills,Listed weight,180 lb,
Geron Johnson,Listed weight,202 lb,
Boban Marjanovic,Listed weight,290 lb,
Robert Upshaw,Listed weight,250 lb,
Tomas Satoransky,Listed weight,210 lb,
Damien Inglis,Listed weight,240 lb,
Scoot Henderson,Listed weight,206 lb,
Sidy Cissoko,Listed weight,200 lb,
Mojave King,Listed weight,195 lb,
Matas Buzelis,Listed weight,209 lb,
Dyson Daniels,Listed weight,199 lb,
Michael Foster Jr.,Listed weight,250 lb,
Jonathan Kuminga,Listed weight,225 lb,
Jalen Green,Listed weight,186 lb,
Tyler Smith,Listed weight,224 lb,
Daishen Nix,Listed weight,238 lb,
Jaylen Barford,College(s) or Teams,Arkansas (2016–2018),"Motlow State CC (2014–2016), Arkansas (2016–2018)"
Marius Grigonis,College(s) or Teams,Manresa (2014-2016),Žalgiris Kaunas
Malcolm Cazalon,College(s) or Teams,Mega Basket (2020-2023),Mega Basket
Satnam Singh Bhamara,College(s) or Teams,"Antariksha Academy (Bradenton, Florida)",Dallas Mavericks
Ulrich Chomche,College(s) or Teams,"NBA Academy Africa (Saly, Senegal)",NBA Academy Africa
Boban Marjanovic,College(s) or Teams,Hemofarm (2006-2010),Hemofarm
Tomas Satoransky,College(s) or Teams,USK Praha (2007-2009),USK Praha
Damien Inglis,College(s) or Teams,Chorale Roanne (2013-2014),Chorale Roanne
Scoot Henderson,College(s) or Teams,NBA G League Ignite (2021-2023),NBA G League Ignite
Sidy Cissoko,College(s) or Teams,NBA G League Ignite (2022-2023),NBA G League Ignite
Mojave King,College(s) or Teams,NBA G League Ignite (2022-2023),NBA G League Ignite
Matas Buzelis,College(s) or Teams,NBA G League Ignite (2023-2024),NBA G League Ignite
Dyson Daniels,College(s) or Teams,NBA G League Ignite (2021-2022),NBA G League Ignite
Michael Foster Jr.,College(s) or Teams,NBA G League Ignite (2021-2022),NBA G League Ignite
Jonathan Kuminga,College(s) or Teams,NBA G League Ignite (2020-2021),NBA G League Ignite
Jalen Green,College(s) or Teams,NBA G League Ignite (2020-2021),NBA G League Ignite
Tyler Smith,College(s) or Teams,NBA G League Ignite (2023-2024),NBA G League Ignite
Daishen Nix,College(s) or Teams,NBA G League Ignite (2020-2021),NBA G League Ignite
Jodie Meeks,Position,Shooting guard,Assistant coach
Terrel Harris,Position,Shooting guard,Player development coach
Dyson Daniels,Position,Shooting guard,Point guard / shooting guard
Bronny James,Nationality,American,
Tristan Thompson,Nationality,Canadian / American,Canadian American (from 2020)
Julius Randle,Nationality,American,
Sidy Cissoko,Nationality,American,French
Blake Griffin,Career highlights and awards,"NBA All-Star (2011, 2012, 2013, 2014, 2015, 2019), All-NBA Second Team (2012, 2013, 2014), All-NBA Third Team (2015, 2019), NBA Rookie of the Year (2011), NBA All-Rookie First Team (2011), NBA Slam Dunk Contest champion (2011), National college player of the year (2009), Consensus first-team All-American (2009), NCAA rebounding leader (2009), Big 12 Player of the Year (2009), No. 23 honored by Oklahoma Sooners, Third-team Parade All-American (2007), McDonald's All-American (2007)","6× NBA All-Star ( 2011 – 2015 , 2019 ), 3× All-NBA Second Team ( 2012 – 2014 ), 2× All-NBA Third Team ( 2015 , 2019 ), NBA Rookie of the Year ( 2011 ), NBA All-Rookie First Team ( 2011 ), NBA Slam Dunk Contest champion ( 2011 ), National college player of the year ( 2009 ), Consensus first-team All-American ( 2009 ), Pete Newell Big Man Award (2009), NCAA rebounding leader (2009), Big 12 Player of the Year (2009), No. 23 honored by Oklahoma Sooners, Third-team Parade All-American (2007), McDonald's All-American ( 2007 )"
Jared Sullinger,Career highlights and awards,"CBA International MVP (2024), CBA rebounding leader (2018, 2023), KBL Playoffs MVP (2021), Consensus first-team All-American (2011, 2012), USBWA National Freshman of the Year (2011), Big Ten Freshman of the Year (2011), First-team All-Big Ten (2011, 2012), Big Ten tournament MOP (2011), Big Ten All-Freshman Team (2011), Naismith Prep Player of the Year (2010), McDonald's All-American Game Co-MVP (2010), First-team Parade All-American (2010), Second-team Parade All-American (2009), Ohio Mr. Basketball (2009, 2010)","CBA International MVP ( 2024 ), 2× CBA rebounding leader ( 2018 , 2023 ), KBL Playoffs MVP (2021), 2× Consensus first-team All-American ( 2011 , 2012 ), USBWA National Freshman of the Year (2011), Big Ten Freshman of the Year (2011), 2× First-team All-Big Ten (2011, 2012), Big Ten tournament MOP (2011), Big Ten All-Freshman Team (2011), Naismith Prep Player of the Year (2010), McDonald's All-American Game Co-MVP ( 2010 ), First-team Parade All-American (2010), Second-team Parade All-American (2009), 2× Ohio Mr. Basketball (2009, 2010)"
Duane Washington Jr.,Career highlights and awards,Third-team All-Big Ten (2021),"NBA G League Showcase Cup champion ( 2023 ), Third-team All- Big Ten (2021)"
Cameron Payne,Career highlights and awards,"OVC Player of the Year (2015), Lute Olson Award (2015), First-team All-OVC (2014, 2015), OVC Freshman of the Year (2014), No. 1 retired by Murray State Racers","OVC Player of the Year (2015), Lute Olson Award (2015), 2× First-team All- OVC (2014, 2015), OVC Freshman of the Year (2014), No. 1 retired by Murray State Racers"
Marcus Bagley,Career highlights and awards,,The Sacramento Bee Player of the Year
Robert Williams,Career highlights and awards,"NBA All-Defensive Second Team (2022), SEC Defensive Player of the Year (2017, 2018), Second-team All-SEC (2017), SEC All-Freshman Team (2017), SEC All-Defensive Team (2017, 2018)","NBA All-Defensive Second Team ( 2022 ), 2× SEC Defensive Player of the Year (2017, 2018), Second-team All-SEC (2017), SEC All-Freshman Team (2017), 2× SEC All-Defensive Team (2017, 2018)"
Jrue Holiday,Career highlights and awards,"2× NBA champion (2021, 2024), 2× NBA All-Star (2013, 2023), 3× NBA All-Defensive First Team (2018, 2021, 2023), 3× NBA All-Defensive Second Team (2019, 2022, 2024), 3× Twyman-Stokes Teammate of the Year Award (2020, 2022, 2023), NBA Sportsmanship Award (2021), Pac-10 All-Freshman Team (2009), Gatorade National Player of the Year (2008), First-team Parade All-American (2008), Third-team Parade All-American (2007), McDonald's All-American (2008), California Mr. Basketball (2008)","2× NBA champion ( 2021 , 2024 ), 2× NBA All-Star ( 2013 , 2023 ), 3× NBA All-Defensive First Team ( 2018 , 2021 , 2023 ), 3× NBA All-Defensive Second Team ( 2019 , 2022 , 2024 ), Kareem Abdul-Jabbar Social Justice Champion Award ( 2025 ), Pac-10 All-Freshman Team ( 2009 ), Gatorade National Player of the Year (2008), First-team Parade All-American (2008), Third-team Parade All-American (2007), McDonald's All-American ( 2008 ), California Mr. Basketball (2008)"
Malcolm Cazalon,Career highlights and awards,,FIBA Europe Cup champion ( 2025 )
Patrick Mills,Career highlights and awards,"NBA champion (2014), NBA Sportsmanship Award (2022), The Don Award Winner (2021), 3× Gaze Medalist (2008, 2010, 2021), 2× First-team All-WCC (2008, 2009), WCC Newcomer of the Year (2008), WCC All-Freshman Team (2008), No. 13 retired by Saint Mary's Gaels","NBA champion ( 2014 ), The Don Award Winner (2021), 3× Gaze Medalist (2008, 2010, 2021), 2× First-team All- WCC (2008, 2009), WCC Newcomer of the Year (2008), WCC All-Freshman Team (2008), No. 13 retired by Saint Mary's Gaels"
Dyson Daniels,Career highlights and awards,,"NBA steals leader ( 2025 ), NBA Most Improved Player ( 2025 )"
