year,Round,Pick,player,position,nationality,picked by,team,strengths,weaknesses,college,listed height,listed weight,date of birth,place of birth,awards,ls_season,ls_team,ls_conf,ls_class,ls_pos,ls_g,ls_gs,ls_mp,ls_fg,ls_fga,ls_fg%,ls_3p,ls_3pa,ls_3p%,ls_2p,ls_2pa,ls_2p%,ls_efg%,ls_ft,ls_fta,ls_ft%,ls_orb,ls_drb,ls_trb,ls_ast,ls_stl,ls_blk,ls_tov,ls_pf,ls_pts,avg_g,avg_gs,avg_mp,avg_fg,avg_fga,avg_fg%,avg_3p,avg_3pa,avg_3p%,avg_2p,avg_2pa,avg_2p%,avg_efg%,avg_ft,avg_fta,avg_ft%,avg_orb,avg_drb,avg_trb,avg_ast,avg_stl,avg_blk,avg_tov,avg_pf,avg_pts,post draft awards,analysis,nba_per,nba_ts_pct,nba_ws_per_48,nba_bpm,nba_vorp,nba_composite_score
2009,1,11,Terrence Williams,SG,United States,New Jersey Nets,Louisville,Elite athlete with versatile defensive skills • Strong rebounder and passer for his position • Proven leader with triple-double potential,"Inconsistent offensive scorer • Needs to improve shooting consistency • Prone to making flashy, risky plays",Louisville (2005–2009),6 ft 6 in,220 lb,1987-06-28,"Seattle, Washington , U.S.","Third-team All-American – AP, NABC ( 2009 )",2008-09,Louisville,Big East,SR,F,37.0,36.0,34.2,4.6,10.6,0.431,1.5,4.0,0.385,3.0,6.6,0.459,0.504,1.8,3.2,0.581,1.4,7.2,8.6,5.0,2.3,0.8,2.3,1.7,12.5,35.0,31.75,32.05,4.125,10.325,0.4,1.375,4.35,0.324,2.7,5.95,0.459,0.468,1.525,2.6,0.592,1.475,5.4,6.875,3.85,1.475,0.65,2.325,1.875,11.1,All-NBA D-League Third Team (2014),"Nets begin rebuild with a versatile, defensive swingman whose energy and athleticism stand out.",12.2,0.46,-0.01,-3.33,-0.1,7.47
2009,1,12,Gerald Henderson,SG,United States,Charlotte Bobcats,Duke,Highly athletic and skilled wing player • Improved offensive repertoire and shooting • Strong finisher with good body control,Undersized for his position • Inconsistent shooting with flat trajectory • More turnovers than assists,Duke (2006–2009),6 ft 5 in,215 lb,1987-12-09,"Richmond, Virginia , U.S.","3× NBA champion ( 1981 , 1984 , 1990 ), No. 22 jersey retired by VCU Rams",2008-09,Duke,ACC,Junior,G,37.0,36.0,29.7,5.8,12.8,0.45,1.1,3.3,0.336,4.6,9.5,0.49,0.494,3.9,5.1,0.761,1.2,3.7,4.9,2.5,1.2,0.8,2.2,1.7,16.5,37.0,36.0,29.7,5.8,12.8,0.45,1.1,3.3,0.336,4.6,9.5,0.49,0.494,3.9,5.1,0.761,1.2,3.7,4.9,2.5,1.2,0.8,2.2,1.7,16.5,,"Larry Brown gets a rugged, two‑way wing projected as the next Raja Bell for Charlotte.",,,,,,
2009,1,13,Tyler Hansbrough,PF,United States,Indiana Pacers,North Carolina,Consistent and productive player • Excellent rebounder and post defender • Strong free-throw shooter,"Lacks ideal NBA size • Struggles against taller, athletic players • Needs to improve face-up game",North Carolina (2005–2009),6 ft 9 in,250 lb,1985-11-03,"Columbia, Missouri , U.S.","NCAA champion ( 2009 ), National college player of the year ( 2008 ), 3× Consensus first-team All-American ( 2007 – 2009 ), Consensus second-team All-American ( 2006 ), USBWA National Freshman of the Year (2006), ACC Player of the Year (2008), 4× First-team All-ACC (2006–2009), ACC Rookie of the Year (2006), ACC All-Freshman Team (2006), ACC tournament MVP ( 2008 ), No. 50 retired by North Carolina Tar Heels, McDonald's All-American ( 2005 ), First-team Parade All-American (2005)",2008-09,North Carolina,ACC,SR,F,34.0,34.0,30.3,6.6,12.8,0.514,0.3,0.7,0.391,6.3,12.1,0.521,0.524,7.3,8.7,0.841,3.0,5.1,8.1,1.0,1.2,0.4,1.9,2.3,20.7,35.5,35.25,30.9,6.6,12.3,0.537,0.1,0.275,0.285,6.525,12.0,0.542,0.541,6.875,8.725,0.788,3.4,5.15,8.5,1.1,1.25,0.475,2.1,2.475,20.15,,"Pacers choose a tough, blue‑collar forward to add interior grit and please Indiana fans.",15.23,0.5,0.11,-2.33,-0.03,13.47
2009,1,14,Earl Clark,SF,United States,Phoenix Suns,Louisville,Versatile offensive combo forward • Effective highpost game • Can guard multiple positions,Inconsistent jumpshot • Limited low post moves • Struggles with left-hand finishes,Louisville (2006–2009),6 ft 9 in,234 lb,1988-01-17,"Plainfield, New Jersey , U.S.","McDonald's All-American ( 2006 ), Fourth-team Parade All-American (2006)",2008-09,Louisville,Big East,JR,F,37.0,36.0,34.3,5.5,11.9,0.457,0.8,2.6,0.326,4.6,9.4,0.493,0.492,2.4,3.8,0.647,2.8,5.9,8.7,3.2,1.0,1.4,3.2,1.9,14.2,34.667,21.0,26.267,3.967,8.433,0.471,0.5,1.767,0.308,3.4,6.7,0.514,0.502,2.0,3.1,0.633,2.133,4.733,6.867,1.667,0.9,1.167,2.1,1.633,10.4,"Montenegrin League champion (2019), Montenegrin Cup winner (2019), Turkish League All-Star (2017)","Suns target long, multi‑positional forward with top‑five talent as part of a looming rebuild.",8.83,0.43,0.01,-4.77,-0.3,7.09
2009,1,15,Austin Daye,SF,United States,Detroit Pistons,Gonzaga,Great height and versatile skills • Effective shooter with unblockable jumper • Excels in transition and off dribble,"Needs to add weight and muscle • Struggles finishing in traffic • Becomes predictable, lacks off-hand use",Gonzaga (2007–2009),6 ft 9 in,201 lb,1988-06-05,"Irvine, California , U.S.",WCC All-Freshman team (2008),2008-09,Gonzaga,WCC,SO,F,34.0,33.0,26.3,4.7,9.8,0.477,1.1,2.5,0.429,3.6,7.3,0.494,0.532,2.3,3.2,0.706,1.1,5.8,6.8,1.1,0.7,2.1,2.1,2.9,12.7,33.5,17.0,22.4,4.1,8.6,0.476,0.95,2.2,0.421,3.15,6.4,0.496,0.53,2.5,3.15,0.794,0.9,4.9,5.75,1.05,0.65,1.85,1.9,2.65,11.6,"NBA champion ( 2014 ), FIBA Europe Cup champion ( 2018 ), P. League+ champion ( 2024 ), Italian Cup ( 2020 ), Italian Cup Finals MVP ( 2020 ), LBA champion ( 2019 ), LBA Finals MVP ( 2019 ), LBA Top Scorer (2016), BSL All-Star (2017)",Pistons select a skinny 6‑11 marksman with significant upside as a stretch forward behind Prince.,10.97,0.49,0.03,-2.7,-0.03,9.92
2009,1,16,James Johnson,SF,United States,Chicago Bulls,Wake Forest,"Extremely skilled and versatile forward • Excellent ball handler and playmaker • Strong and athletic with a 7'1"" wingspan",Inconsistent performance and effort • Streaky outside shooter • Poor lateral movement and foul prone,Wake Forest (2007–2009),6 ft 7 in,240 lb,1987-02-20,"Cheyenne, Wyoming , U.S.","2× Third-team All-ACC (2008, 2009), ACC All-Freshman team (2008)",2008-09,Quinnipiac,NEC,FR,G,31.0,31.0,32.5,3.4,9.5,0.359,0.8,2.5,0.321,2.6,7.0,0.373,0.402,2.2,2.7,0.798,0.9,2.8,3.7,4.1,1.5,0.1,2.8,2.6,9.8,31.0,31.0,32.5,3.4,9.5,0.359,0.8,2.5,0.321,2.6,7.0,0.373,0.402,2.2,2.7,0.798,0.9,2.8,3.7,4.1,1.5,0.1,2.8,2.6,9.8,,Bulls land an athletic combo forward viewed as a possible successor to trade‑rumored Tyrus Thomas.,,,,,,
2009,1,17,Jrue Holiday,PG,United States,Philadelphia 76ers,UCLA,Crafty ballhandler with deceptive quickness • Good finisher around the basket • Unselfish with good court vision,Inconsistent shooting form and accuracy • Struggles with decision making under pressure • Lacks superb athleticism and strength,UCLA (2008–2009),6 ft 4 in,205 lb,1990-06-12,"Los Angeles, California , U.S.","Pac-10 All-Freshman Team ( 2009 ), Gatorade National Player of the Year (2008), First-team Parade All-American (2008), Third-team Parade All-American (2007), McDonald's All-American ( 2008 ), California Mr. Basketball (2008)",2008-09,UCLA,Pac-10,FR,G,35.0,35.0,27.1,3.2,7.1,0.45,0.8,2.5,0.307,2.4,4.6,0.528,0.504,1.3,1.8,0.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,2.1,8.5,35.0,35.0,27.1,3.2,7.1,0.45,0.8,2.5,0.307,2.4,4.6,0.528,0.504,1.3,1.8,0.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,2.1,8.5,"2× NBA champion ( 2021, 2024 ), 2× NBA All-Star ( 2013, 2023 ), 3× NBA All-Defensive First Team ( 2018, 2021, 2023 ), 3× NBA All-Defensive Second Team ( 2019, 2022, 2024 ), 3× Twyman-Stokes Teammate of the Year Award ( 2020, 2022, 2023 ), NBA Sportsmanship Award ( 2021 )","Sixers steal a lottery‑grade guard at 17, getting their point guard of the future after a minor slide.",14.13,0.52,0.07,-0.17,1.13,13.13
2009,1,18,Ty Lawson,PG,United States,Denver Nuggets,North Carolina,Efficient leader and playmaker • Strong in transition and finishing • Improved three-point shooting,Struggles against taller defenders • Inconsistent shooting mechanics • Tendency to gamble defensively,North Carolina (2006–2009),5 ft 11 in,194 lb,1987-11-03,"Clinton, Maryland , U.S.","NCAA champion ( 2009 ), Consensus second-team All-American ( 2009 ), Bob Cousy Award (2009), ACC Player of the Year (2009), First-team All-ACC (2009), ACC All-Freshman team (2007), No. 5 honored by North Carolina Tar Heels, McDonald's All-American ( 2006 ), First-team Parade All-American (2006)",2008-09,North Carolina,ACC,JR,G,35.0,35.0,29.9,5.2,9.8,0.532,1.5,3.1,0.472,3.7,6.7,0.56,0.607,4.7,5.9,0.798,0.7,2.3,3.0,6.6,2.1,0.1,1.9,1.7,16.6,35.0,31.667,26.967,4.433,8.567,0.516,1.067,2.667,0.396,3.333,5.9,0.569,0.577,3.233,4.133,0.774,0.633,2.267,2.867,5.8,1.733,0.067,2.1,1.967,13.167,,"Wolves draft Lawson only to deal him to Denver, where his speed makes him an ideal Billups understudy.",17.9,0.59,0.15,2.13,2.0,18.65
2009,1,19,Jeff Teague,PG,United States,Atlanta Hawks,Wake Forest,Extremely quick and explosive guard • Great at driving and finishing • Effective in transition play,Struggles with playmaking mentality • Defensive effort is inconsistent • Prone to taking bad shots,Wake Forest (2007–2009),6 ft 1 in,195 lb,1988-06-10,"Indianapolis , Indiana, U.S.","Consensus second-team All-American ( 2009 ), Second-team All-ACC (2009), ACC All-Freshman Team (2008)",2008-09,Wake Forest,ACC,SO,G,31.0,31.0,32.0,5.8,12.0,0.485,1.5,3.3,0.441,4.4,8.7,0.502,0.546,5.8,7.1,0.817,0.5,2.8,3.3,3.5,1.9,0.6,3.4,2.2,18.8,30.5,26.0,30.85,5.15,11.2,0.46,1.3,3.0,0.418,3.9,8.2,0.475,0.516,4.8,5.9,0.81,0.5,2.5,3.0,3.0,1.85,0.55,2.95,2.25,16.35,"NBA champion ( 2021 ), NBA All-Star ( 2015 )",Hawks add a lightning‑quick scorer as insurance for Mike Bibby and future offensive spark.,13.8,0.51,0.09,-0.6,0.7,13.56
2009,1,20,Eric Maynor,PG,United States,Utah Jazz,VCU,Crafty point guard with high basketball IQ • Clutch performer with strong finishing ability • Excellent court vision and passing skills,Struggles against top-level athletes • Concerns about physical strength and weight • Prone to turnovers and defensive lapses,VCU (2005–2009),6 ft 3 in,175 lb,1987-06-11,"Raeford, North Carolina , U.S.","2× CAA Player of the Year (2008, 2009), 3× First-team All- CAA (2007–2009), No. 3 jersey retired by VCU Rams",2008-09,VCU,CAA,SR,G,34.0,34.0,35.5,7.3,15.8,0.463,1.9,5.4,0.361,5.4,10.4,0.516,0.524,5.8,7.1,0.815,0.5,3.1,3.6,6.2,1.7,0.2,3.0,2.4,22.4,32.5,26.0,30.175,4.925,10.975,0.444,1.075,2.9,0.336,3.875,8.1,0.474,0.485,3.775,4.75,0.796,0.55,2.775,3.325,5.075,1.3,0.15,2.45,1.95,14.725,,"Jazz nab a savvy, NBA‑ready floor general to back up Deron Williams—a perfect system fit.",10.8,0.48,0.06,-2.13,0.03,11.15
2009,1,21,Darren Collison,PG,United States,New Orleans Hornets,UCLA,Extremely quick and efficient point guard • Proven leader with high basketball IQ • Excellent on-ball defender with quick hands,"Smaller size makes defense challenging • Unorthodox, slow-release jumpshot • Struggled to close out games",UCLA (2005–2009),6 ft 0 in,160 lb,1987-08-23,"Rancho Cucamonga, California , U.S.","Third-team All-American – NABC ( 2009 ), Third-team All-American – AP ( 2008 ), Frances Pomeroy Naismith Award (2009), 2× First-team All-Pac-10 (2007, 2009), Second-team All-Pac-10 (2008), Fourth-team Parade All-American (2005)",2008-09,UCLA,Pac-10,SR,G,35.0,35.0,31.5,5.0,9.8,0.509,1.2,3.0,0.394,3.8,6.9,0.558,0.568,3.2,3.6,0.897,0.5,1.9,2.4,4.7,1.6,0.1,2.5,1.5,14.4,35.5,26.0,29.6,4.05,8.475,0.468,1.2,2.725,0.424,2.85,5.8,0.487,0.534,2.5,2.925,0.841,0.425,1.825,2.275,4.125,1.625,0.1,2.4,1.425,11.775,NBA All-Rookie First Team ( 2010 ),"Hornets double down on small guards, trusting Collison to be a high‑end backup behind Chris Paul.",15.23,0.54,0.08,-0.43,0.83,13.83
