idx,gold,pred_1,pred_2,pred_3,top1_correct,top3_correct
59,zaccharie risacher,zaccharie risacher,ron holland,dalton knecht,1,1
60,alex sarr,zach edey,kel'el ware,alex sarr,0,1
61,reed sheppard,terrence shannon jr.,devin carter,reed sheppard,0,1
62,stephon castle,tyler kolek,stephon castle,jamal shead,0,1
63,ron holland,dalton knecht,jaylen wells,ron holland,0,1
64,tidjane sala,tidjane sala,dalton knecht,jaylon tyson,1,1
65,donovan clingan,zach edey,kel'el ware,quinten post,0,0
66,rob dillingham,ajay mitchell,tristen newton,rob dillingham,0,1
67,zach edey,zach edey,kel'el ware,quinten post,1,1
68,cody williams,ron holland,devin carter,cody williams,0,1
69,matas buzelis,cody williams,tyler smith,matas buzelis,0,1
70,nikola topi,isaiah collier,nikola topi,jamal shead,0,1
71,devin carter,devin carter,cam spencer,terrence shannon jr.,1,1
72,bub carrington,terrence shannon jr.,ja'kobe walter,cam spencer,0,0
73,kel'el ware,kel'el ware,quinten post,branden carlson,1,1
74,jared mccain,jamal shead,tyler kolek,isaiah collier,0,0
75,dalton knecht,dalton knecht,dillon jones,jaylon tyson,1,1
76,tristan da silva,daron holmes ii,anton watson,tristan da silva,0,1
77,ja'kobe walter,cam spencer,ja'kobe walter,terrence shannon jr.,0,1
78,jaylon tyson,jaylon tyson,ryan dunn,dillon jones,1,1
79,yves missi,n'faly dante,quinten post,ariel hukporti,0,0
80,daron holmes ii,daron holmes ii,anton watson,jonathan mogbo,1,1
81,aj johnson,terrence shannon jr.,cam spencer,kyshawn george,0,0
82,kyshawn george,terrence shannon jr.,cam spencer,bronny james,0,0
83,pac,jaylen wells,pac,dillon jones,0,1
84,dillon jones,cody williams,zach edey,kel,0,0
85,terrence shannon jr.,cam spencer,kevin mccullar jr.,terrence shannon jr.,0,1
86,ryan dunn,justin edwards,ryan dunn,jaylen wells,0,1
87,isaiah collier,jamal shead,isaiah collier,juan n,0,1
88,baylor scheierman,antonio reeves,baylor scheierman,johnny furphy,0,1
89,jonathan mogbo,anton watson,nae'qwan tomlin,tolu smith,0,0
90,kyle filipowski,adem bona,oso ighodaro,kyle filipowski,0,1
91,tyler smith,bobi klintman,keion brooks jr.,harrison ingram,0,0
92,tyler kolek,jamal shead,tyler kolek,kj simpson,0,1
93,johnny furphy,nikola,alex ducas,pelle larsson,0,0
94,juan n,jamal shead,reece beekman,juan n,0,1
95,bobi klintman,reed sheppard,harrison ingram,bobi klintman,0,1
96,ajay mitchell,cody williams,zach edey,kel,0,0
97,jaylen wells,armel traor,keshad johnson,melvin ajin,0,0
98,oso ighodaro,adem bona,oso ighodaro,anton watson,0,1
99,adem bona,quinten post,adem bona,anton watson,0,1
100,kj simpson,jamal shead,reece beekman,rayj dennis,0,0
101,nikola,antonio reeves,pelle larsson,nikola,0,1
102,pelle larsson,antonio reeves,pelle larsson,anton watson,0,1
103,jamal shead,jahmir young,daniss jenkins,jamal shead,0,1
104,cam christie,cam christie,trey alexander,bronny james,1,1
105,antonio reeves,antonio reeves,cam spencer,alex ducas,1,1
106,harrison ingram,enrique freeman,anton watson,keion brooks jr.,0,0
107,tristen newton,tristen newton,cam spencer,anton watson,1,1
108,enrique freeman,emanuel miller,keion brooks jr.,anton watson,0,0
109,melvin ajin,justin edwards,melvin ajin,trentyn flowers,0,1
110,quinten post,quinten post,branden carlson,n'faly dante,1,1
111,cam spencer,kevin mccullar jr.,bronny james,cam spencer,0,1
112,anton watson,anton watson,malevy leons,nae'qwan tomlin,1,1
113,bronny james,kevin mccullar jr.,trey alexander,bronny james,0,1
114,kevin mccullar jr.,kevin mccullar jr.,trey alexander,cui yongxi,1,1
115,ulrich chomche,ulrich chomche,ariel hukporti,isaac jones,1,1
116,ariel hukporti,n'faly dante,branden carlson,jesse edwards,0,0
